,id,best.universe.redshift,Comments
117,7299,0.22,
118,7347,1.6,
119,7468,3.98,
120,7620,3.98,
121,7720,1.28,
122,7764,2.05,
123,7770,1.44,
124,7860,4.7700000000000005,
125,7884,0.9500000000000001,
126,7891,1.4000000000000001,
127,7925,3.24,
128,7950,3.37,
129,7975,2.25,
130,8000,4.16,
131,8032,12.47, Plausible (low SNR)                            
132,8067,2.5300000000000002,
133,8083,0.81,
134,8127,5.12,
135,8194,3.29,
136,8201,,
137,8206,1.72,
138,8281,0.88,
139,8322,3.35,
140,8372,0.5700000000000001,
141,8423,0.66,
142,8449,1.0,
143,8490,3.99,
144,8495,3.89,
145,8505,0.16,
146,8506,5.07,
147,8528,,
148,8581,3.98,
149,8620,4.12,
150,8708,1.71,
151,8734,2.09,
152,8766,3.99,
153,8768,4.69,
154,8790,1.76,
155,8794,5.86,
156,8823,3.47,
157,8829,2.12,
158,8873,0.76,
159,8876,1.49,
160,8881,1.1300000000000001,
161,8893,0.84,
162,8963,4.0,
163,9005,3.99,
164,9071,6.79,
165,9123,2.14,
166,9220,1.9100000000000001,
167,9226,,
168,9262,6.25,
169,9319,1.1300000000000001,
170,9384,1.26,
171,9440,0.36,
172,9441,3.72,
173,9464,1.11,
174,9514,3.73,
175,9566,1.17,
176,9575,3.86,
177,9599,2.52,
178,9678,0.0,
179,9705,0.9,
180,9714,1.72,
181,9733,3.73,
182,9745,2.88,
183,9795,3.21,
184,9801,3.88,
185,9809,0.84,
186,9828,0.68,
187,9836,4.92,
188,9841,3.43,
189,9862,4.0,
190,9890,3.43,
191,9914,0.0,
192,9924,4.0,
193,9940,0.73,
194,9968,3.2800000000000002,
195,9969,3.48,
196,9985,2.14,
197,9998,3.45,
198,10008,3.99,
199,10033,0.26,
200,10048,4.61,
201,10051,7.0600000000000005,
202,10052,3.35,
203,10119,5.24,
204,10125,2.5100000000000002,
205,10132,3.2600000000000002,
206,10244,0.67,
207,10246,3.35,
208,10294,0.45,
209,10344,2.15,
