,sample,id,pointing,MPT_number,z_manual,file_name,Notes
563,CAPERS_COSMOS_V0.2.1,s000027477,P6,27477,0.602863,CAPERS_COSMOS_P6_s000027477_x1d_optext.fits,None
564,CAPERS_COSMOS_V0.2.1,s000027483,P6,27483,3.298462,CAPERS_COSMOS_P6_s000027483_x1d_optext.fits,None
565,CAPERS_COSMOS_V0.2.1,s000027494,P6,27494,3.94,CAPERS_COSMOS_P6_s000027494_x1d_optext.fits,None
566,CAPERS_COSMOS_V0.2.1,s000027565,P4,27565,-1.0,CAPERS_COSMOS_P4_s000027565_x1d_optext.fits,None
567,CAPERS_COSMOS_V0.2.1,s000027632,P6,27632,-1.0,CAPERS_COSMOS_P6_s000027632_x1d.fits,None
568,CAPERS_COSMOS_V0.2.1,s000027640,P6,27640,-1.0,CAPERS_COSMOS_P6_s000027640_x1d_optext.fits,None
569,CAPERS_COSMOS_V0.2.1,s000027778,P4,27778,-1.0,CAPERS_COSMOS_P4_s000027778_x1d_optext.fits,None
570,CAPERS_COSMOS_V0.2.1,s000027792,P4,27792,4.477598,CAPERS_COSMOS_P4_s000027792_x1d_optext.fits,None
571,CAPERS_COSMOS_V0.2.1,s000027793,P4,27793,3.0,CAPERS_COSMOS_P4_s000027793_x1d_optext.fits,None
572,CAPERS_COSMOS_V0.2.1,s000027889,P6,27889,-1.0,CAPERS_COSMOS_P6_s000027889_x1d_optext.fits,None
573,CAPERS_COSMOS_V0.2.1,s000027943,P6,27943,-1.0,CAPERS_COSMOS_P6_s000027943_x1d_optext.fits,None
574,CAPERS_COSMOS_V0.2.1,s000027952,P4,27952,1.770792,CAPERS_COSMOS_P4_s000027952_x1d_optext.fits,None
575,CAPERS_COSMOS_V0.2.1,s000027954,P4,27954,-1.0,CAPERS_COSMOS_P4_s000027954_x1d_optext.fits,None
576,CAPERS_COSMOS_V0.2.1,s000027957,P4,27957,-1.0,CAPERS_COSMOS_P4_s000027957_x1d_optext.fits,None
577,CAPERS_COSMOS_V0.2.1,s000027973,P4,27973,3.125424,CAPERS_COSMOS_P4_s000027973_x1d.fits,None
578,CAPERS_COSMOS_V0.2.1,s000027996,P4,27996,-1.0,CAPERS_COSMOS_P4_s000027996_x1d_optext.fits,None
579,CAPERS_COSMOS_V0.2.1,s000027997,P6,27997,-1.0,CAPERS_COSMOS_P6_s000027997_x1d_optext.fits,None
580,CAPERS_COSMOS_V0.2.1,s000028041,P4,28041,1.854119,CAPERS_COSMOS_P4_s000028041_x1d_optext.fits,None
581,CAPERS_COSMOS_V0.2.1,s000028083,P4,28083,-1.0,CAPERS_COSMOS_P4_s000028083_x1d_optext.fits,None
582,CAPERS_COSMOS_V0.2.1,s000028129,P4,28129,3.46,CAPERS_COSMOS_P4_s000028129_x1d_optext.fits,None
583,CAPERS_COSMOS_V0.2.1,s000028221,P4,28221,2.045658,CAPERS_COSMOS_P4_s000028221_x1d_optext.fits,None
584,CAPERS_COSMOS_V0.2.1,s000028222,P4,28222,4.057177,CAPERS_COSMOS_P4_s000028222_x1d_optext.fits,None
585,CAPERS_COSMOS_V0.2.1,s000028249,P6,28249,-1.0,CAPERS_COSMOS_P6_s000028249_x1d_optext.fits,None
586,CAPERS_COSMOS_V0.2.1,s000028268,P4,28268,1.811584,CAPERS_COSMOS_P4_s000028268_x1d_optext.fits,None
587,CAPERS_COSMOS_V0.2.1,s000028309,P4,28309,2.531328,CAPERS_COSMOS_P4_s000028309_x1d_optext.fits,None
588,CAPERS_COSMOS_V0.2.1,s000028353,P4,28353,-1.0,CAPERS_COSMOS_P4_s000028353_x1d_optext.fits,None
589,CAPERS_COSMOS_V0.2.1,s000028358,P4,28358,2.685122,CAPERS_COSMOS_P4_s000028358_x1d_optext.fits,None
590,CAPERS_COSMOS_V0.2.1,s000028666,P4,28666,5.910321,CAPERS_COSMOS_P4_s000028666_x1d.fits,None
591,CAPERS_COSMOS_V0.2.1,s000028667,P4,28667,-1.0,CAPERS_COSMOS_P4_s000028667_x1d.fits,None
592,CAPERS_COSMOS_V0.2.1,s000028687,P4,28687,-1.0,CAPERS_COSMOS_P4_s000028687_x1d_optext.fits,None
593,CAPERS_COSMOS_V0.2.1,s000028690,P4,28690,1.565302,CAPERS_COSMOS_P4_s000028690_x1d_optext.fits,None
594,CAPERS_COSMOS_V0.2.1,s000028755,P4,28755,-1.0,CAPERS_COSMOS_P4_s000028755_x1d_optext.fits,None
595,CAPERS_COSMOS_V0.2.1,s000028812,P4,28812,2.53,CAPERS_COSMOS_P4_s000028812_x1d_optext.fits,None
596,CAPERS_COSMOS_V0.2.1,s000028849,P4,28849,1.544881,CAPERS_COSMOS_P4_s000028849_x1d_optext.fits,None
597,CAPERS_COSMOS_V0.2.1,s000028886,P4,28886,-1.0,CAPERS_COSMOS_P4_s000028886_x1d_optext.fits,None
598,CAPERS_COSMOS_V0.2.1,s000028966,P4,28966,0.84101,CAPERS_COSMOS_P4_s000028966_x1d_optext.fits,None
599,CAPERS_COSMOS_V0.2.1,s000028975,P4,28975,3.832677,CAPERS_COSMOS_P4_s000028975_x1d_optext.fits,None
600,CAPERS_COSMOS_V0.2.1,s000028988,P4,28988,0.840521,CAPERS_COSMOS_P4_s000028988_x1d_optext.fits,None
601,CAPERS_COSMOS_V0.2.1,s000029015,P4,29015,-1.0,CAPERS_COSMOS_P4_s000029015_x1d.fits,None
602,CAPERS_COSMOS_V0.2.1,s000029019,P4,29019,3.96,CAPERS_COSMOS_P4_s000029019_x1d_optext.fits,None
603,CAPERS_COSMOS_V0.2.1,s000029032,P4,29032,1.504056,CAPERS_COSMOS_P4_s000029032_x1d_optext.fits,None
604,CAPERS_COSMOS_V0.2.1,s000029118,P4,29118,-1.0,CAPERS_COSMOS_P4_s000029118_x1d_optext.fits,None
605,CAPERS_COSMOS_V0.2.1,s000029161,P4,29161,-1.0,CAPERS_COSMOS_P4_s000029161_x1d_optext.fits,None
606,CAPERS_COSMOS_V0.2.1,s000029162,P4,29162,1.79,CAPERS_COSMOS_P4_s000029162_x1d_optext.fits,None
607,CAPERS_COSMOS_V0.2.1,s000029206,P4,29206,-1.0,CAPERS_COSMOS_P4_s000029206_x1d_optext.fits,None
608,CAPERS_COSMOS_V0.2.1,s000029215,P4,29215,-1.0,CAPERS_COSMOS_P4_s000029215_x1d_optext.fits,None
609,CAPERS_COSMOS_V0.2.1,s000029220,P4,29220,0.755408,CAPERS_COSMOS_P4_s000029220_x1d_optext.fits,None
610,CAPERS_COSMOS_V0.2.1,s000029235,P4,29235,1.8,CAPERS_COSMOS_P4_s000029235_x1d_optext.fits,None
611,CAPERS_COSMOS_V0.2.1,s000029242,P4,29242,-1.0,CAPERS_COSMOS_P4_s000029242_x1d_optext.fits,None
612,CAPERS_COSMOS_V0.2.1,s000029250,P4,29250,-1.0,CAPERS_COSMOS_P4_s000029250_x1d_optext.fits,None
613,CAPERS_COSMOS_V0.2.1,s000029298,P4,29298,1.590575,CAPERS_COSMOS_P4_s000029298_x1d_optext.fits,None
614,CAPERS_COSMOS_V0.2.1,s000029354,P4,29354,1.603095,CAPERS_COSMOS_P4_s000029354_x1d_optext.fits,None
615,CAPERS_COSMOS_V0.2.1,s000029358,P4,29358,-1.0,CAPERS_COSMOS_P4_s000029358_x1d_optext.fits,None
616,CAPERS_COSMOS_V0.2.1,s000029382,P4,29382,2.668322,CAPERS_COSMOS_P4_s000029382_x1d_optext.fits,None
617,CAPERS_COSMOS_V0.2.1,s000029398,P4,29398,4.487769,CAPERS_COSMOS_P4_s000029398_x1d_optext.fits,None
618,CAPERS_COSMOS_V0.2.1,s000029438,P4,29438,3.18,CAPERS_COSMOS_P4_s000029438_x1d_optext.fits,None
619,CAPERS_COSMOS_V0.2.1,s000029592,P4,29592,-1.0,CAPERS_COSMOS_P4_s000029592_x1d_optext.fits,None
620,CAPERS_COSMOS_V0.2.1,s000029688,P4,29688,-1.0,CAPERS_COSMOS_P4_s000029688_x1d_optext.fits,None
621,CAPERS_COSMOS_V0.2.1,s000029693,P4,29693,-1.0,CAPERS_COSMOS_P4_s000029693_x1d_optext.fits,None
622,CAPERS_COSMOS_V0.2.1,s000029720,P4,29720,2.520255,CAPERS_COSMOS_P4_s000029720_x1d_optext.fits,None
623,CAPERS_COSMOS_V0.2.1,s000029804,P4,29804,2.66836,CAPERS_COSMOS_P4_s000029804_x1d_optext.fits,None
624,CAPERS_COSMOS_V0.2.1,s000029815,P4,29815,-1.0,CAPERS_COSMOS_P4_s000029815_x1d.fits,None
625,CAPERS_COSMOS_V0.2.1,s000029919,P4,29919,4.718172,CAPERS_COSMOS_P4_s000029919_x1d_optext.fits,None
626,CAPERS_COSMOS_V0.2.1,s000029983,P4,29983,2.212914,CAPERS_COSMOS_P4_s000029983_x1d_optext.fits,None
627,CAPERS_COSMOS_V0.2.1,s000029986,P4,29986,-1.0,CAPERS_COSMOS_P4_s000029986_x1d_optext.fits,None
628,CAPERS_COSMOS_V0.2.1,s000030047,P4,30047,2.603296,CAPERS_COSMOS_P4_s000030047_x1d_optext.fits,None
629,CAPERS_COSMOS_V0.2.1,s000030198,P4,30198,2.88,CAPERS_COSMOS_P4_s000030198_x1d_optext.fits,None
630,CAPERS_COSMOS_V0.2.1,s000030208,P4,30208,2.880502,CAPERS_COSMOS_P4_s000030208_x1d_optext.fits,None
631,CAPERS_COSMOS_V0.2.1,s000030281,P4,30281,-1.0,CAPERS_COSMOS_P4_s000030281_x1d_optext.fits,None
632,CAPERS_COSMOS_V0.2.1,s000030431,P4,30431,2.615042,CAPERS_COSMOS_P4_s000030431_x1d_optext.fits,None
633,CAPERS_COSMOS_V0.2.1,s000030440,P4,30440,3.5,CAPERS_COSMOS_P4_s000030440_x1d_optext.fits,None
634,CAPERS_COSMOS_V0.2.1,s000030812,P4,30812,1.763493,CAPERS_COSMOS_P4_s000030812_x1d_optext.fits,None
635,CAPERS_COSMOS_V0.2.1,s000030874,P4,30874,1.265055,CAPERS_COSMOS_P4_s000030874_x1d_optext.fits,None
636,CAPERS_COSMOS_V0.2.1,s000030877,P4,30877,2.45527,CAPERS_COSMOS_P4_s000030877_x1d_optext.fits,None
637,CAPERS_COSMOS_V0.2.1,s000030967,P4,30967,4.5,CAPERS_COSMOS_P4_s000030967_x1d_optext.fits,None
638,CAPERS_COSMOS_V0.2.1,s000031028,P4,31028,-1.0,CAPERS_COSMOS_P4_s000031028_x1d_optext.fits,None
639,CAPERS_COSMOS_V0.2.1,s000031106,P4,31106,2.432375,CAPERS_COSMOS_P4_s000031106_x1d_optext.fits,None
640,CAPERS_COSMOS_V0.2.1,s000031111,P4,31111,-1.0,CAPERS_COSMOS_P4_s000031111_x1d_optext.fits,None
641,CAPERS_COSMOS_V0.2.1,s000031243,P4,31243,4.152137,CAPERS_COSMOS_P4_s000031243_x1d_optext.fits,None
642,CAPERS_COSMOS_V0.2.1,s000031433,P4,31433,2.593965,CAPERS_COSMOS_P4_s000031433_x1d_optext.fits,None
643,CAPERS_COSMOS_V0.2.1,s000031574,P4,31574,-1.0,CAPERS_COSMOS_P4_s000031574_x1d_optext.fits,None
644,CAPERS_COSMOS_V0.2.1,s000031634,P4,31634,2.53,CAPERS_COSMOS_P4_s000031634_x1d_optext.fits,None
645,CAPERS_COSMOS_V0.2.1,s000031675,P4,31675,5.84,CAPERS_COSMOS_P4_s000031675_x1d_optext.fits,None
646,CAPERS_COSMOS_V0.2.1,s000031686,P4,31686,3.439769,CAPERS_COSMOS_P4_s000031686_x1d_optext.fits,None
647,CAPERS_COSMOS_V0.2.1,s000031745,P4,31745,2.885702,CAPERS_COSMOS_P4_s000031745_x1d_optext.fits,None
648,CAPERS_COSMOS_V0.2.1,s000031788,P4,31788,-1.0,CAPERS_COSMOS_P4_s000031788_x1d_optext.fits,None
649,CAPERS_COSMOS_V0.2.1,s000031861,P4,31861,-1.0,CAPERS_COSMOS_P4_s000031861_x1d_optext.fits,None
650,CAPERS_COSMOS_V0.2.1,s000031867,P4,31867,2.504578,CAPERS_COSMOS_P4_s000031867_x1d_optext.fits,None
651,CAPERS_COSMOS_V0.2.1,s000031873,P4,31873,0.890795,CAPERS_COSMOS_P4_s000031873_x1d_optext.fits,None
652,CAPERS_COSMOS_V0.2.1,s000031886,P4,31886,-1.0,CAPERS_COSMOS_P4_s000031886_x1d_optext.fits,None
653,CAPERS_COSMOS_V0.2.1,s000031947,P4,31947,-1.0,CAPERS_COSMOS_P4_s000031947_x1d_optext.fits,None
654,CAPERS_COSMOS_V0.2.1,s000031951,P4,31951,4.52,CAPERS_COSMOS_P4_s000031951_x1d_optext.fits,None
655,CAPERS_COSMOS_V0.2.1,s000032017,P4,32017,3.616314,CAPERS_COSMOS_P4_s000032017_x1d_optext.fits,None
656,CAPERS_COSMOS_V0.2.1,s000032076,P4,32076,2.88,CAPERS_COSMOS_P4_s000032076_x1d_optext.fits,None
657,CAPERS_COSMOS_V0.2.1,s000032126,P4,32126,1.28,CAPERS_COSMOS_P4_s000032126_x1d_optext.fits,None
658,CAPERS_COSMOS_V0.2.1,s000032141,P4,32141,5.86,CAPERS_COSMOS_P4_s000032141_x1d_optext.fits,None
659,CAPERS_COSMOS_V0.2.1,s000032162,P4,32162,1.486679,CAPERS_COSMOS_P4_s000032162_x1d_optext.fits,None
660,CAPERS_COSMOS_V0.2.1,s000032172,P4,32172,0.267131,CAPERS_COSMOS_P4_s000032172_x1d_optext.fits,None
661,CAPERS_COSMOS_V0.2.1,s000032191,P4,32191,-1.0,CAPERS_COSMOS_P4_s000032191_x1d_optext.fits,None
662,CAPERS_COSMOS_V0.2.1,s000032200,P4,32200,-1.0,CAPERS_COSMOS_P4_s000032200_x1d_optext.fits,None
663,CAPERS_COSMOS_V0.2.1,s000032208,P4,32208,-1.0,CAPERS_COSMOS_P4_s000032208_x1d_optext.fits,None
664,CAPERS_COSMOS_V0.2.1,s000032209,P4,32209,2.113514,CAPERS_COSMOS_P4_s000032209_x1d_optext.fits,None
665,CAPERS_COSMOS_V0.2.1,s000032214,P4,32214,-1.0,CAPERS_COSMOS_P4_s000032214_x1d_optext.fits,None
666,CAPERS_COSMOS_V0.2.1,s000032230,P4,32230,0.698226,CAPERS_COSMOS_P4_s000032230_x1d_optext.fits,None
667,CAPERS_COSMOS_V0.2.1,s000032257,P4,32257,-1.0,CAPERS_COSMOS_P4_s000032257_x1d_optext.fits,None
668,CAPERS_COSMOS_V0.2.1,s000032265,P4,32265,6.684865,CAPERS_COSMOS_P4_s000032265_x1d_optext.fits,None
669,CAPERS_COSMOS_V0.2.1,s000032296,P4,32296,-1.0,CAPERS_COSMOS_P4_s000032296_x1d_optext.fits,None
670,CAPERS_COSMOS_V0.2.1,s000032353,P4,32353,1.454402,CAPERS_COSMOS_P4_s000032353_x1d_optext.fits,None
