ID,ra,dec,z_med,z_UNICORN
121289,150.1351538,2.312552,,6.7
38885,150.1006207,2.2760172,,6.61
28667,150.1618063,2.3266672,,6.61
117059,150.1636765,2.3030672,,6.61
126703,150.1569214,2.3240244,,6.61
181398,150.1443365,2.4279774,,6.61
166377,150.1227517,2.4709156,,6.97
109659,150.1406341,2.2875091,,6.67
93088,150.16032,2.2511738,,6.58
94930,150.1745397,2.2557643,,6.58
43569,150.0986594,2.2504261,,6.58
115388,150.0770713,2.2997918,,6.58
161496,150.0809208,2.3963837,,6.58
22248,150.1451562,2.3588204,,6.58
5540,150.1262456,2.4595684,,6.58
9262,150.1430606,2.4322343,,6.58
167922,150.1292996,2.4651987,,6.58
69093,150.1147724,2.1875177,,6.55
107551,150.1429838,2.283201,,6.55
119846,150.1608368,2.3091392,,6.55
146138,150.1924396,2.3632482,,6.55
6734,150.1657039,2.4507522,,6.55
167622,150.1629565,2.4663772,,6.55
7081,150.1316735,2.448302,,4.54
82667,150.1350871,2.2247139,,6.52
111170,150.1762347,2.2909224,,6.52
8794,150.1411411,2.4354842,,6.52
174481,150.1818087,2.4462787,,6.52
179735,150.1668667,2.4285713,,6.52
17158,150.1453489,2.3845422,,5.5
93655,150.1465814,2.2525992,,6.49
158515,150.1735258,2.3894234,,6.49
101872,150.0580413,2.2707955,,6.64
79535,150.143894,2.2166673,,6.46
81459,150.149687,2.2217253,,6.46
35614,150.1652635,2.2926797,,6.46
45528,150.1679984,2.2388971,,6.46
41314,150.1112693,2.2631074,,6.46
17304,150.1419809,2.3838893,,6.46
169976,150.1314471,2.458602,,6.46
102267,150.0919186,2.2717022,,6.43
105624,150.1338228,2.2792061,,6.43
170418,150.1368494,2.4227156,,6.43
37601,150.1641951,2.2824348,,4.42
11370,150.1331639,2.4169296,,3.82
79460,150.1439314,2.2164988,,6.4
27632,150.1712384,2.3317623,,6.4
168643,150.1565701,2.4633352,,6.4
171616,150.1279077,2.4531527,,6.4
26504,150.1517985,2.3379558,,3.4
100705,150.1518122,2.2682226,,6.61
98202,150.1021948,2.2629261,,6.37
37923,150.1466824,2.2808889,,6.37
14119,150.0946374,2.4013983,,6.37
167903,150.1514485,2.465351,,6.37
217277,150.1459508,2.4757783,,6.37
29019,150.1270608,2.3248284,,4.36
182463,150.1166499,2.4193409,,6.79
136167,150.197329,2.3439986,,6.79
114635,150.0782043,2.2982565,,6.31
7110,150.1293565,2.4480877,,6.31
170641,150.1759656,2.4560837,,6.31
177733,150.1833343,2.4356986,,6.31
101272,150.1053414,2.2695749,,15.25
80917,150.1123602,2.2204019,,11.92
72924,150.1190976,2.1991046,,6.28
84244,150.1341387,2.2290141,,6.28
105670,150.177498,2.2793176,,6.28
39643,150.1077024,2.271908,,6.28
189770,150.1295471,2.4017509,,6.28
3306,150.1535912,2.4793888,,6.28
37317,150.1467558,2.283799,,6.25
32460,150.0955954,2.3079003,,6.25
40329,150.0910634,2.2684385,,6.25
34075,150.1592419,2.3000309,,6.25
112778,150.1619739,2.2943916,,6.25
136555,150.1993471,2.3447874,,6.25
146713,150.1530685,2.3643404,,6.25
102079,150.1053447,2.2712819,,6.85
94224,150.0660614,2.2540916,,6.88
46333,150.14629,2.2339957,,5.53
49388,150.1393228,2.214673,,5.53
40146,150.1055619,2.2693356,,5.5
16142,150.1315492,2.3903249,,5.5
20859,150.1633983,2.3659552,,5.5
14951,150.1260942,2.3968418,,5.47
17043,150.1410303,2.3853525,,5.47
181333,150.1370232,2.4240665,,5.29
46892,150.1363613,2.2303608,,5.26
39948,150.1042939,2.2702517,,5.26
14765,150.1173393,2.4188419,,5.23
17250,150.1413015,2.3840997,,5.23
8127,150.1412793,2.4405642,,5.23
44424,150.1483926,2.2454667,,5.2
26929,150.1462219,2.3356638,,5.2
14738,150.124921,2.3980432,,5.2
8505,150.1428545,2.4375887,,5.2
49845,150.1398683,2.2120986,,5.17
38737,150.1496854,2.276711,,5.17
133074,150.1629629,2.3375745,,5.14
40245,150.1401383,2.2688808,,5.08
11227,150.1195356,2.4185745,,5.08
177003,150.145305,2.4363108,,5.05
78752,150.1527954,2.2147912,,4.93
17133,150.104355,2.3846984,,4.93
43386,150.1482537,2.2517004,,4.87
193815,150.1137966,2.4148876,,1.57
34696,150.1690184,2.2972108,,1.15
18439,150.1786755,2.3777735,,5.23
36069,150.1022076,2.2902039,,6.22
9914,150.1450423,2.4275093,,6.22
174079,150.1817502,2.4463095,,6.22
193186,150.1825993,2.3976383,,7.51
136300,150.1631344,2.3442485,,6.76
105259,150.068845,2.2784469,,6.7
129568,150.1667014,2.3299343,,7.36
155468,150.146521,2.3827008,,6.19
95399,150.1878924,2.2568792,,6.16
101195,150.0615646,2.2694045,,6.16
153514,150.0831168,2.3783489,,6.16
21508,150.1432074,2.3626096,,6.16
153951,150.1786585,2.3792668,,6.16
181033,150.147818,2.4247967,,6.16
101492,150.0901243,2.2700561,,6.49
51267,150.1238207,2.2033698,,6.13
108374,150.0928983,2.284784,,6.13
26055,150.1550109,2.3402044,,6.13
32141,150.1342389,2.3094757,,6.13
106715,150.1490449,2.2814476,,6.13
182184,150.1045478,2.4197928,,6.13
183016,150.0760036,2.4176228,,6.13
73866,150.1060697,2.2016987,,6.1
25384,150.1617824,2.3434347,,6.1
28666,150.1617447,2.3266851,,6.1
31788,150.1161247,2.3113174,,6.1
14574,150.0879683,2.398925,,6.1
11371,150.1332995,2.4169724,,4.09
67005,150.149741,2.1796756,,6.07
36884,150.1361208,2.2858008,,6.07
16560,150.135415,2.387912,,6.07
159971,150.1767687,2.3925923,,6.07
44297,150.1590844,2.2461357,,6.04
191271,150.077966,2.3971749,,6.04
21466,150.1425003,2.3628406,,6.04
88512,150.1556298,2.2399238,,9.49
41269,150.1436808,2.2633975,,6.01
98384,150.1478398,2.2633348,,6.01
27778,150.1679854,2.3310598,,6.01
31675,150.1288205,2.311938,,6.01
11170,150.1128474,2.4189166,,6.01
189636,150.0758076,2.4016725,,6.01
147326,150.1442635,2.3656073,,11.98
20066,150.1960615,2.3695771,,2.44
36760,150.1799289,2.2859659,,1.33
52548,150.1487624,2.1943475,,0.82
33032,150.168353,2.304941,,0.82
38954,150.1089241,2.275103,,0.79
40661,150.1338216,2.2662438,,0.7
97513,150.1362811,2.2614277,,7.27
76799,150.1038455,2.209792,,5.98
38917,150.127522,2.2758524,,5.98
42031,150.1375744,2.2593026,,5.98
38373,150.0651719,2.2785617,,5.98
97176,150.1064997,2.2607681,,5.98
19692,150.0916125,2.3715718,,5.98
156504,150.1336611,2.3851288,,5.98
172904,150.1625108,2.4490837,,5.98
167387,150.1294782,2.4681777,,7.3
92529,150.1578363,2.2497469,,7.33
38174,150.168318,2.279606,,5.92
106687,150.1838939,2.2814056,,5.92
116131,150.0977091,2.3013114,,5.92
131197,150.155786,2.3333054,,6.76
74710,150.1054522,2.2042651,,5.89
80866,150.137579,2.2202395,,5.89
99231,150.1773117,2.2650386,,5.89
20738,150.1529503,2.3664824,,5.89
164724,150.164238,2.4792423,,6.1
99145,150.1440858,2.2648669,,5.86
114843,150.0903408,2.2986415,,5.86
169283,150.1175636,2.4267616,,5.86
68595,150.144624,2.1858099,,5.83
74306,150.1495211,2.2030597,,5.83
41646,150.1019624,2.2614767,,5.83
100580,150.061471,2.2679703,,5.83
28755,150.1588241,2.326272,,5.83
125384,150.1274327,2.3211712,,5.83
78183,150.1124133,2.2133601,,6.07
158424,150.1349184,2.3892443,,6.82
74783,150.0985111,2.2044812,,5.8
39600,150.1463434,2.2721283,,5.8
116768,150.1763772,2.3025302,,5.8
19021,150.1490335,2.3746866,,5.8
169932,150.1337263,2.4586962,,5.8
88418,150.0680262,2.239674,,6.13
36664,150.1270251,2.2868695,,4.78
43488,150.1886265,2.2509709,,5.77
132577,150.1527864,2.3364423,,5.77
142288,150.1889787,2.3554452,,5.77
181660,150.1425619,2.4274094,,5.77
171239,150.1697953,2.4543997,,6.13
43649,150.0770229,2.2500453,,5.71
94863,150.0799403,2.2556247,,5.71
111078,150.0889264,2.2906511,,5.71
121255,150.1356062,2.3124565,,5.71
105546,150.1512481,2.2790625,,7.54
146378,150.1600789,2.3637204,,5.41
136409,150.1722837,2.3444617,,6.91
