ID,ra,dec,z_med,z_UNICORN
97912,214.876466,52.8440538,,8.83
34935,214.996395,52.8541552,,8.71
55434,214.9329139,52.85371,12.31,12.31
96185,214.9128238,52.8749537,12.16,12.16
72510,214.9891175,52.9937779,12.07,0.37
85257,214.8108886,52.8332145,11.89,11.89
83878,214.7963308,52.8261072,11.59,11.59
84059,214.8578838,52.8692733,11.57,0.31
91753,214.8588147,52.8507058,11.23,0.25
76762,214.8119937,52.8562617,10.87,0.31
89281,214.8507731,52.8525687,10.6,10.6
52792,214.9202702,52.8390283,10.45,10.45
4503,215.0125326,53.00137,8.97,2.29
65480,214.8071669,52.7902044,,12.1
64034,214.8717209,52.8337974,,11.26
43539,214.9030993,52.8065943,,11.17
41813,214.8894239,52.7930034,,9.31
92582,214.9351232,52.9090057,,8.98
55806,214.9583409,52.8725239,,8.95
101303,214.8188143,52.7861221,,8.68
74599,214.9886837,52.9873307,,8.62
102199,215.005198,53.0086874,,5.47
11585,214.8922488,52.8774032,,6.94
42126,215.0149665,52.8827834,16.33,16.33
93452,214.8764598,52.8580548,9.7,2.47
95786,214.9104738,52.8742524,9.7,0.4
57073,214.8830324,52.8219542,9.43,9.43
86691,214.884295,52.8819406,9.4,9.4
46822,214.982072,52.8699189,9.28,9.28
58746,214.8356359,52.7931006,9.26,0.04
53781,214.9311769,52.8488615,9.04,9.04
69079,214.9372053,52.9653489,9.01,5.23
40133,214.9406764,52.8256988,8.71,8.71
28945,215.0086582,52.8682937,8.65,2.14
22479,214.9046661,52.8230938,8.63,2.32
44214,215.0013248,52.8778661,8.62,8.62
56226,214.9174827,52.8444538,8.62,8.62
52892,214.8757859,52.8076026,8.62,8.62
64226,214.8224779,52.7992842,8.53,8.53
19710,214.8664421,52.8084864,2.68,2.68
48876,214.9478436,52.8500512,1.12,1.12
13815,214.7981867,52.796877,0.55,0.55
91987,214.9375891,52.9055349,,10.78
87149,214.8183007,52.8342791,,9.07
94554,214.8780121,52.856076,,8.98
8752,214.8761374,52.880826,,8.95
11964,214.968697,52.9296508,,8.92
58265,214.8686264,52.8151581,,8.92
61226,214.9012423,52.8469959,,8.92
14197,214.9295105,52.8879118,,7.45
99480,214.8873767,52.7978096,,12.76
86483,214.8456762,52.8548627,,5.71
88990,214.9266682,52.8887639,,5.71
82222,215.040372,53.0038518,,9.85
34198,214.9573618,52.8245636,,15.94
11320,214.8234503,52.8302776,,5.17
24745,214.8147794,52.7489505,,3.64
25077,214.9491788,52.8431827,,7.15
24591,214.9494781,52.8454127,,5.26
19300,215.0220704,52.9207862,,4.78
9244,214.9856746,52.9562297,,5.17
239249,214.8126277,52.8490866,,8.7
84663,214.9925635,52.9633728,,8.65
36959,214.9829111,52.8488796,,8.56
239798,214.8037049,52.8515928,,8.51
88412,215.0456485,52.9932601,,8.5
6056,214.9335994,52.936744,,7.33
8666,214.9854979,52.958746,,7.09
63253,214.9434063,52.8824729,,7.0
37392,214.9883048,52.8536669,,6.97
218801,215.0211924,52.9673513,,8.41
82294,214.7911786,52.8269346,,1.27
47833,214.9461141,52.846637,,16.21
235717,215.0596037,52.963066,,8.33
37752,215.0165075,52.8744581,,8.32
20036,214.9212529,52.8457279,,2.29
76608,214.9045529,52.9228228,,15.07
19799,214.9241459,52.8490471,,4.78
86965,214.9914941,52.9604474,,7.36
52917,214.798874,52.7527959,,8.17
29195,214.9832154,52.8491586,,8.17
70125,214.8727455,52.9168943,,8.14
