ID,ra,dec,z_med,z_UNICORN,flux_F277W,MSA_weight,pointing,n_nods_vis1,n_nods_vis2,n_nods_vis3,eff_exp_time,shutter_centering
233636,214.9083229,52.8180478,,2.73,-1.0,23,[7],[6],[6],[0],11379.3342,['Midpoint']
212336,215.0707524,52.968316,,2.72,-1.0,23,[1],[6],[0],[6],11379.3342,['Midpoint']
219657,215.0134668,52.9662314,,2.71,-1.0,23,[1],[0],[6],[0],5689.6671,['Midpoint']
71465,214.9320972,52.9559882,,2.71,27.454,23,[2],[0],[6],[0],5689.6671,['EOSA']
216850,214.9959123,52.9392641,,2.71,-1.0,23,[2],[6],[0],[0],5689.6671,['Midpoint']
219619,215.0023622,52.9580966,,2.71,-1.0,23,[2],[0],[6],[0],5689.6671,['Midpoint']
27928,214.8603594,52.7674409,,2.71,27.042,23,[5],[0],[4],[0],3793.1114,['Midpoint']
29815,214.9687055,52.83627,,2.71,27.117,23,[6],[6],[0],[0],5689.6671,['Midpoint']
35362,214.9943532,52.8536213,,4.75,28.412,22,[6],[0],[6],[0],5689.6671,['Midpoint']
73336,214.787041,52.848308,,4.6,28.382,22,[4],[6],[0],[0],5689.6671,['Midpoint']
224052,214.986513,52.9696136,,2.7,-1.0,22,[2],[6],[0],[6],11379.3342,['Midpoint']
209872,214.8094823,52.7690497,,2.7,-1.0,22,[5],[6],[4],[6],15172.4456,['Midpoint']
213179,215.077043,52.9774383,,2.69,-1.0,22,[1],[6],[6],[6],17069.0013,['Midpoint']
238990,215.0457395,53.0099674,,2.69,-1.0,22,[1],[6],[0],[0],5689.6671,['Midpoint']
213618,214.8648651,52.8295494,,2.69,-1.0,22,[4],[0],[0],[6],5689.6671,['Midpoint']
4371,215.0087981,52.9994196,,2.68,26.533,22,[1],[0],[0],[6],5689.6671,['Midpoint']
8618,214.9918053,52.9635834,,2.68,26.458,22,[1, 2],[0, 0],[2, 0],[0, 6],7586.2228,['EOSA', 'Midpoint']
219705,214.9959829,52.9535075,,2.68,-1.0,22,[1],[0],[4],[0],3793.1114,['Midpoint']
