file,zfit,ID,Field,Pointing
CAPERS-COSMOS_P1_s000054360_x1d.fits,2.42,54360,COSMOS,1
CAPERS-COSMOS_P1_s000054568_x1d.fits,0.83,54568,COSMOS,1
CAPERS-COSMOS_P1_s000054693_x1d.fits,8.39,54693,COSMOS,1
CAPERS-COSMOS_P1_s000054719_x1d.fits,1.8,54719,COSMOS,1
CAPERS-COSMOS_P1_s000054833_x1d.fits,1.33,54833,COSMOS,1
CAPERS-COSMOS_P1_s000054857_x1d.fits,4.39,54857,COSMOS,1
CAPERS-COSMOS_P1_s000055026_x1d.fits,1.34,55026,COSMOS,1
CAPERS-COSMOS_P1_s000055051_x1d.fits,0.68,55051,COSMOS,1
CAPERS-COSMOS_P1_s000055080_x1d.fits,3.01,55080,COSMOS,1
CAPERS-COSMOS_P1_s000055104_x1d.fits,1.26,55104,COSMOS,1
CAPERS-COSMOS_P1_s000055133_x1d.fits,1.61,55133,COSMOS,1
CAPERS-COSMOS_P1_s000055145_x1d.fits,4.39,55145,COSMOS,1
CAPERS-COSMOS_P1_s000055244_x1d.fits,2.2,55244,COSMOS,1
CAPERS-COSMOS_P1_s000055254_x1d.fits,2.55,55254,COSMOS,1
CAPERS-COSMOS_P1_s000055288_x1d.fits,4.42,55288,COSMOS,1
CAPERS-COSMOS_P1_s000055311_x1d.fits,1.14,55311,COSMOS,1
CAPERS-COSMOS_P1_s000055425_x1d.fits,3.93,55425,COSMOS,1
CAPERS-COSMOS_P1_s000055464_x1d.fits,4.38,55464,COSMOS,1
CAPERS-COSMOS_P1_s000055515_x1d.fits,2.06,55515,COSMOS,1
CAPERS-COSMOS_P1_s000055529_x1d.fits,2.06,55529,COSMOS,1
CAPERS-COSMOS_P1_s000055542_x1d.fits,1.64,55542,COSMOS,1
CAPERS-COSMOS_P1_s000055545_x1d.fits,2.02,55545,COSMOS,1
CAPERS-COSMOS_P1_s000055552_x1d.fits,0.84,55552,COSMOS,1
CAPERS-COSMOS_P1_s000055563_x1d.fits,1.86,55563,COSMOS,1
CAPERS-COSMOS_P1_s000055564_x1d.fits,2.59,55564,COSMOS,1
CAPERS-COSMOS_P1_s000055600_x1d.fits,5.6,55600,COSMOS,1
CAPERS-COSMOS_P1_s000055646_x1d.fits,1.63,55646,COSMOS,1
CAPERS-COSMOS_P1_s000055675_x1d.fits,0.37,55675,COSMOS,1
CAPERS-COSMOS_P1_s000055687_x1d.fits,1.24,55687,COSMOS,1
CAPERS-COSMOS_P1_s000055706_x1d.fits,2.17,55706,COSMOS,1
CAPERS-COSMOS_P1_s000055743_x1d.fits,1.36,55743,COSMOS,1
CAPERS-COSMOS_P1_s000055784_x1d.fits,1.86,55784,COSMOS,1
CAPERS-COSMOS_P1_s000055810_x1d.fits,0.85,55810,COSMOS,1
CAPERS-COSMOS_P1_s000055905_x1d.fits,2.09,55905,COSMOS,1
CAPERS-COSMOS_P1_s000056102_x1d.fits,1.91,56102,COSMOS,1
CAPERS-COSMOS_P1_s000056162_x1d.fits,10.31,56162,COSMOS,1
CAPERS-COSMOS_P1_s000056166_x1d.fits,2.07,56166,COSMOS,1
CAPERS-COSMOS_P1_s000056182_x1d.fits,2.06,56182,COSMOS,1
CAPERS-COSMOS_P1_s000057282_x1d.fits,0.7,57282,COSMOS,1
CAPERS-COSMOS_P1_s000063582_x1d.fits,1.27,63582,COSMOS,1
CAPERS-COSMOS_P1_s000063588_x1d.fits,2.78,63588,COSMOS,1
CAPERS-COSMOS_P1_s000064116_x1d.fits,2.32,64116,COSMOS,1
CAPERS-COSMOS_P1_s000064140_x1d.fits,6.21,64140,COSMOS,1
CAPERS-COSMOS_P1_s000064152_x1d.fits,4.73,64152,COSMOS,1
CAPERS-COSMOS_P1_s000064185_x1d.fits,5.88,64185,COSMOS,1
CAPERS-COSMOS_P1_s000064632_x1d.fits,0.04,64632,COSMOS,1
CAPERS-COSMOS_P1_s000064759_x1d.fits,0.82,64759,COSMOS,1
CAPERS-COSMOS_P1_s000064761_x1d.fits,1.93,64761,COSMOS,1
CAPERS-COSMOS_P1_s000064829_x1d.fits,1.7,64829,COSMOS,1
CAPERS-COSMOS_P1_s000064910_x1d.fits,0.82,64910,COSMOS,1
CAPERS-COSMOS_P1_s000064965_x1d.fits,4.71,64965,COSMOS,1
CAPERS-COSMOS_P1_s000064996_x1d.fits,0.3,64996,COSMOS,1
CAPERS-COSMOS_P1_s000065197_x1d.fits,4.13,65197,COSMOS,1
CAPERS-COSMOS_P1_s000065262_x1d.fits,3.82,65262,COSMOS,1
CAPERS-COSMOS_P1_s000065396_x1d.fits,0.59,65396,COSMOS,1
CAPERS-COSMOS_P1_s000065404_x1d.fits,4.4,65404,COSMOS,1
CAPERS-COSMOS_P1_s000065620_x1d.fits,3.24,65620,COSMOS,1
CAPERS-COSMOS_P1_s000065661_x1d.fits,4.87,65661,COSMOS,1
