ID,ra,dec,z_med,z_UNICORN,flux_F277W,flux_F356W,flux_F444W,MSA_weight,pointing,n_nods_vis1,n_nods_vis2,n_nods_vis3,eff_exp_time,shutter_centering
24781,34.468016647138526,-5.197583917250509,,1.7200000000000013,26.303917331994622,26.29397318538436,26.287858179439027,7,1,4,0,4,7586.2228,Midpoint
114779,34.515836679794575,-5.167718782634533,,1.7200000000000013,26.981329957823505,26.98968613772587,26.97101887718569,7,1,6,0,0,5689.6671,Midpoint
4988,34.416912766998905,-5.109374562276599,,1.7200000000000013,27.010764223789224,27.101243942940272,27.25649866225598,7,2,6,0,0,5689.6671,Midpoint
6009,34.4232636079465,-5.1140255592397565,,1.7200000000000013,25.519385604509715,25.50112711804084,25.556471298187724,7,2,6,0,0,5689.6671,Midpoint
1294,34.24289040074246,-5.089777616239475,,1.7200000000000013,25.788627662017127,25.853749621737343,25.890865865871547,7,3,0,6,6,11379.3342,Midpoint
1973,34.244879309295875,-5.093798646767669,,1.7200000000000013,25.32056077402632,25.26845927804346,25.354496885309224,7,3,0,6,0,5689.6671,Midpoint
4157,34.27931064514063,-5.105781615886957,,1.7200000000000013,22.27079191078122,21.92243423067128,21.666841317300943,7,3,0,6,6,11379.3342,Midpoint
5548,34.27642445904551,-5.111937597978769,,1.7200000000000013,22.690815016213623,22.60425553338368,22.48887259873684,7,3,0,0,6,5689.6671,Midpoint
33555,34.42440118493137,-5.240992224856497,,1.7200000000000013,25.496478377370217,25.45363609359925,25.55740074394553,7,5,6,0,0,5689.6671,Midpoint
16064,34.50699170668701,-5.157099550157235,,1.7200000000000013,25.93269083541404,25.96047108236353,25.930741971525187,7,1,0,6,0,5689.6671,Midpoint
25079,34.50859190595642,-5.198963102050025,,1.7200000000000013,23.40606287528037,23.269075886986165,23.184163790663604,7,1,0,6,0,5689.6671,Midpoint
1508,34.23582022966984,-5.090972321549698,,1.7200000000000013,25.15014533076744,25.16538846538255,25.12365312015908,7,3,0,6,0,5689.6671,Midpoint
7863,34.23808727942617,-5.1237575556115,,1.7200000000000013,22.371871153788977,22.2607779791163,22.129198180777937,7,3,0,6,0,5689.6671,Midpoint
13963,34.249366632391826,-5.149038844675904,,1.7200000000000013,26.465224459235863,26.4338916447894,26.413468490672216,7,3,0,6,0,5689.6671,Midpoint
14950,34.49788711134274,-5.152846547802521,,1.7200000000000013,24.641719616479502,24.584137292374592,24.52514131850726,7,1,0,0,2,1896.5557,Midpoint
100012,34.491014317598264,-5.2025342957129554,,1.7200000000000013,27.54309813371056,27.356028595880723,27.26060865372378,7,1,0,0,6,5689.6671,Midpoint
152698,34.5102934364664,-5.153703448366668,,1.7200000000000013,26.52517358445934,26.550863951589506,29.897984912576447,7,1,0,0,6,5689.6671,Midpoint
8972,34.467371120116674,-5.12833033209678,,1.7200000000000013,24.77799619620364,24.748475575113343,24.719672578561827,7,2,0,0,6,5689.6671,Midpoint
148322,34.44419975693421,-5.14541076674377,,1.7200000000000013,27.787263752797465,27.755246017801262,27.67642679090313,7,2,0,0,6,5689.6671,Midpoint
9169,34.23014355257993,-5.1290524671183,,1.7200000000000013,26.53088821728348,26.63463252206517,26.521529929454445,7,3,0,0,6,5689.6671,Midpoint
11066,34.26314953504271,-5.136800414604189,,1.7200000000000013,25.70606574481878,25.75962881571813,25.82095388374092,7,3,0,0,6,5689.6671,Midpoint
126395,34.26454041466879,-5.098877380205834,,1.7200000000000013,27.90403292830564,27.92400640112528,27.927990176387944,7,3,0,0,6,5689.6671,Midpoint
