ID,ra,dec,z_med,z_UNICORN,flux_F277W,flux_F356W,flux_F444W,MSA_weight,pointing,n_nods_vis1,n_nods_vis2,n_nods_vis3,eff_exp_time,shutter_centering
37743,34.29335382808484,-5.259525040866542,,3.72999999999999,26.46419401844262,26.54887876167037,26.52960152745916,73,7,0,6,0,5689.6671,Midpoint
137112,34.45628650054521,-5.122956068488349,,3.72999999999999,26.68142109352008,26.81121820827351,26.86719222553962,73,2,0,0,6,5689.6671,Midpoint
38035,34.30550351302796,-5.260786394007981,,3.72999999999999,25.454755926970407,25.489559189603057,25.511669849802782,73,7,0,0,6,5689.6671,Midpoint
143674,34.246040200700925,-5.135160835873758,,3.9699999999999886,28.04973890628536,28.06490488362196,28.84363676419664,72,3,0,6,6,11379.3342,Midpoint
127208,34.240188465819685,-5.100599124097693,,3.75999999999999,28.55653788344285,28.39905986716776,28.012897792152074,70,3,0,6,0,5689.6671,Midpoint
25494,34.479429521948454,-5.200902511249471,,3.6999999999999904,26.57533739498844,26.85216490485609,26.6755794648557,70,1,6,0,0,5689.6671,Midpoint
117504,34.50674444961081,-5.161535981811018,,3.6999999999999904,26.981993530057217,27.08093270015098,27.207384329190862,70,1,6,0,0,5689.6671,Midpoint
36732,34.50995287578134,-5.255149450169733,,3.6999999999999904,24.20957976566488,24.38911191008864,24.23330820425837,70,4,6,0,0,5689.6671,Midpoint
34858,34.46384077559964,-5.246809283018536,,3.6999999999999904,24.440256505299946,24.62736622684843,24.540374102386387,70,5,0,6,0,5689.6671,Midpoint
37338,34.451493024527736,-5.257821022733644,,3.6999999999999904,25.70502792523625,25.750149025962862,25.8294841561666,70,5,0,6,0,5689.6671,Midpoint
112538,34.29439557435632,-5.172629370441817,,4.329999999999991,28.13201299470641,28.140811547573257,28.47945844137714,68,6,6,0,0,5689.6671,Midpoint
71301,34.333885285451075,-5.26841883403032,,4.17999999999999,28.125905531540653,28.10279953543141,28.38025123170325,68,7,6,0,6,11379.3342,Midpoint
12688,34.44532450180262,-5.143859074128567,,3.669999999999991,27.414450169871053,27.49970104397769,27.549408813258573,68,2,6,0,0,5689.6671,Midpoint
144840,34.252272801016304,-5.138169279075305,,3.669999999999991,27.72076588945788,27.88798701977969,27.72409144561917,68,3,4,0,0,3793.1114,Midpoint
71204,34.32443540075072,-5.268610352337796,,7.78000000000002,29.02560918464276,29.52785837555355,28.824123704466977,67,7,0,0,6,5689.6671,Midpoint
5657,34.43222082293232,-5.112361368641327,,3.639999999999991,25.797954834624093,26.06933923992647,26.031203321810143,66,2,6,0,0,5689.6671,Midpoint
104491,34.48302719658472,-5.191632125334229,,3.639999999999991,26.82099470562364,26.96778497990576,26.30333609958288,66,1,0,6,0,5689.6671,Midpoint
72103,34.341955071533874,-5.266672304223767,,3.639999999999991,26.651025108720475,26.65229005377539,26.6132543631621,66,7,0,6,0,5689.6671,Midpoint
75046,34.29894592932374,-5.260433215121397,,3.639999999999991,27.481612915749373,27.99215351589222,27.89937894905627,66,7,0,6,0,5689.6671,Midpoint
92974,34.46803885274534,-5.220336052063032,,5.169999999999998,28.463039232060844,28.8950925003143,28.30832835766447,65,5,0,6,0,5689.6671,Midpoint
92376,34.45063327201952,-5.221677902438401,,3.639999999999991,28.00130776507476,28.797662387155256,28.363211292918407,65,5,0,6,0,5689.6671,Midpoint
12122,34.47655150991295,-5.141307354114462,,3.609999999999991,23.965338005899262,24.133375206448576,23.92501184945624,63,1,6,6,0,11379.3342,Midpoint
7353,34.45780042187921,-5.120706551704783,,3.609999999999991,24.681056946601583,25.092523662567025,24.835000253519752,63,2,6,0,0,5689.6671,Midpoint
7979,34.44945987652427,-5.124160242157733,,3.609999999999991,25.63899861934776,25.98425772685715,25.682008097787865,63,2,6,0,0,5689.6671,Midpoint
128627,34.25758197359666,-5.103960456579744,,3.609999999999991,27.60069676968361,28.372411256378527,28.058882700293463,63,3,6,0,0,5689.6671,Midpoint
65892,34.465653941503554,-5.281056589009797,,3.609999999999991,28.00147229106014,28.24323828894949,28.00407743553086,63,4,6,0,0,5689.6671,Midpoint
38278,34.2904424479272,-5.262081164267557,,3.609999999999991,23.17739055423971,23.03523950047129,22.88222424044086,63,7,6,0,0,5689.6671,Midpoint
66800,34.481762705071205,-5.278798652633531,,3.609999999999991,27.386774135341817,27.444596042872256,27.42484437485508,63,4,0,6,0,5689.6671,Midpoint
71407,34.52552151304259,-5.268131064083786,,3.609999999999991,26.41159823938333,26.85675636263516,26.748486670440336,63,4,0,6,0,5689.6671,EOSA
79205,34.49150105121378,-5.251701077953857,,3.609999999999991,28.14350981897617,28.431539507162903,27.89152284787422,63,4,0,6,0,5689.6671,Midpoint
95861,34.28022054919942,-5.213761783829939,,3.609999999999991,27.22933781514218,27.849726730717727,27.65468086071121,63,6,0,6,0,5689.6671,Midpoint
