id;bayes.universe.redshift;bayes.universe.redshift_err;best.universe.redshift;best.chi_square;best.reduced_chi_square
112611;5.299174261299679;1.4352331436157604;5.0600000000000005;99.86559607525245;0.3150334261048973
112618;4.900001772780568;0.00013313400393721595;4.9;366.97821678176075;1.115435309367054
112891;3.2458578470753383;0.0157885759269488;3.25;166.142007041396;0.5768819688937361
112916;5.238645031850495;0.003432243802825831;5.24;147.02663156912567;0.6001087002821456
113121;3.5899356776871776;0.0007994284795032197;3.59;351.6601870892995;0.9181728122436018
113300;2.6399999999988877;1.0548738365956171e-07;2.64;405.0972608485932;1.0860516376637888
113670;0.389136058921431;0.317694252057199;0.13;237.3536823173595;0.7559034468705716
113701;1.4947828566478747;0.03501112217844399;1.49;257.8221431276286;0.7345360203066341
113769;1.8318686078578723;0.33145171417862745;1.74;106.11254458175654;0.48232974809889334
113839;3.1147096571506907;2.7336671301827096;8.040000000000001;216.61989472038343;0.7393170468272472
113849;1.9685361256432643;0.06314469785909638;1.97;200.459057762887;0.8458188091261055
114291;3.2869800191935017;0.9139576461112701;3.3200000000000003;106.28571039415718;0.472380935085143
114336;10.500202282301608;1.9948394935337628;9.56;140.59308497582717;0.6539213254689635
114647;6.455919099988601;6.005872286473385;0.24;1.9698849090088957;0.11587558288287622
114779;2.022602324704824;0.03429747022526606;2.02;298.8891208399464;0.8188743036710859
115091;1.0400000000000142;1.1900544867971311e-08;1.04;332.5236533386471;0.9262497307483205
115149;6.032181613655585;0.04189024909227349;6.03;175.6584422791516;0.7258613317320314
115417;3.0655842524953676;0.8213089984720428;3.79;112.20107140934803;0.7146565057920257
115878;1.5999657551811262;0.3631178845047186;1.3900000000000001;241.95169496279178;0.7399134402531858
115902;1.8740939860949344;0.13463387459048004;1.81;274.63646474441896;0.7736238443504759
116034;3.0074775132443663;0.019771842826877377;3.0100000000000002;357.820176813516;0.9911916255222051
116200;0.7527686534027218;0.5446668608740355;0.98;182.91498304779205;0.660342899089502
116343;8.746327166482068;2.216603555055159;4.1;183.05928174247381;0.588615053834321
116484;1.417544074575076;0.004324476068513453;1.42;368.76000718857193;0.9628198621111539
116555;1.6452207258527691;0.06986577627779532;1.68;250.30782495917134;0.7131277064363856
116640;2.0898118439790423;0.5451460176305328;1.78;211.42138947672063;0.6485318695604927
116755;9.923923094831778;6.357079713139221;3.99;24.17594444346909;0.2912764390779408
116872;2.8384659802759478;0.2653308466945517;2.81;149.99458923299932;0.5050322869797956
117222;3.710500841605604;0.005640004551201101;3.71;237.8702554196728;0.6975667314359906
117357;2.0944397988658037;0.3129526992179323;2.2;193.0198247170956;0.6266877425879727
