              sample          id                                      file   z_manual                                                           Notes
110  CAPERS_UDS_V0.1  s000025394  CAPERS_UDS_P1_s000025394_x1d_optext.fits   0.420661                                                                
111  CAPERS_UDS_V0.1  s000025316  CAPERS_UDS_P1_s000025316_x1d_optext.fits   1.166870                                                                
112  CAPERS_UDS_V0.1  s000025289  CAPERS_UDS_P1_s000025289_x1d_optext.fits   5.460000                                                                
113  CAPERS_UDS_V0.1  s000024228  CAPERS_UDS_P1_s000024228_x1d_optext.fits   0.360000                                                                
114  CAPERS_UDS_V0.1  s000024307  CAPERS_UDS_P1_s000024307_x1d_optext.fits   2.280000                                                                
115  CAPERS_UDS_V0.1  s000024309  CAPERS_UDS_P1_s000024309_x1d_optext.fits   3.690000                                        Wide_HeI10830A_component
116  CAPERS_UDS_V0.1  s000024311  CAPERS_UDS_P1_s000024311_x1d_optext.fits   6.090000                                                                
117  CAPERS_UDS_V0.1  s000024481  CAPERS_UDS_P1_s000024481_x1d_optext.fits   1.640000                                                                
118  CAPERS_UDS_V0.1  s000024501  CAPERS_UDS_P1_s000024501_x1d_optext.fits   1.280000                                                                
119  CAPERS_UDS_V0.1  s000024678  CAPERS_UDS_P1_s000024678_x1d_optext.fits   2.300000                                                                
120  CAPERS_UDS_V0.1  s000024709  CAPERS_UDS_P1_s000024709_x1d_optext.fits   0.840000                                                                
121  CAPERS_UDS_V0.1  s000024710  CAPERS_UDS_P1_s000024710_x1d_optext.fits   1.760000                                                                
122  CAPERS_UDS_V0.1  s000024711  CAPERS_UDS_P1_s000024711_x1d_optext.fits   0.678646                                                                
123  CAPERS_UDS_V0.1  s000024781  CAPERS_UDS_P1_s000024781_x1d_optext.fits   5.209043  Companion_object_at_higher_redshift_(z_=_5.209,_in_absorption)
124  CAPERS_UDS_V0.1  s000024911  CAPERS_UDS_P1_s000024911_x1d_optext.fits   3.028083                                                                
125  CAPERS_UDS_V0.1  s000025000  CAPERS_UDS_P1_s000025000_x1d_optext.fits   3.710000                                                                
126  CAPERS_UDS_V0.1  s000025034  CAPERS_UDS_P1_s000025034_x1d_optext.fits   3.700000                                                                
127  CAPERS_UDS_V0.1  s000025039  CAPERS_UDS_P1_s000025039_x1d_optext.fits   2.768974                                                                
128  CAPERS_UDS_V0.1  s000025079  CAPERS_UDS_P1_s000025079_x1d_optext.fits   1.866020                                                                
129  CAPERS_UDS_V0.1  s000025083  CAPERS_UDS_P5_s000025083_x1d_optext.fits   1.649478                                                                
130  CAPERS_UDS_V0.1  s000025099  CAPERS_UDS_P1_s000025099_x1d_optext.fits   1.440899                                                                
131  CAPERS_UDS_V0.1  s000025250  CAPERS_UDS_P1_s000025250_x1d_optext.fits   2.090000                                                                
132  CAPERS_UDS_V0.1  s000026775  CAPERS_UDS_P5_s000026775_x1d_optext.fits   3.200000                                                                
133  CAPERS_UDS_V0.1  s000026804  CAPERS_UDS_P5_s000026804_x1d_optext.fits   2.302150                                                                
134  CAPERS_UDS_V0.1  s000026900  CAPERS_UDS_P1_s000026900_x1d_optext.fits   1.858825                                                                
135  CAPERS_UDS_V0.1  s000027013  CAPERS_UDS_P5_s000027013_x1d_optext.fits   1.710000                                                                
136  CAPERS_UDS_V0.1  s000030705  CAPERS_UDS_P5_s000030705_x1d_optext.fits   2.356430                                                                
137  CAPERS_UDS_V0.1  s000030793  CAPERS_UDS_P5_s000030793_x1d_optext.fits   5.770000                                                                
138  CAPERS_UDS_V0.1  s000031000  CAPERS_UDS_P5_s000031000_x1d_optext.fits   0.870230                                                                
139  CAPERS_UDS_V0.1  s000031187  CAPERS_UDS_P5_s000031187_x1d_optext.fits   1.989785                                                                
140  CAPERS_UDS_V0.1  s000031327  CAPERS_UDS_P5_s000031327_x1d_optext.fits   2.260000                                                                
141  CAPERS_UDS_V0.1  s000031968  CAPERS_UDS_P5_s000031968_x1d_optext.fits   3.800000                                                                
142  CAPERS_UDS_V0.1  s000032249  CAPERS_UDS_P5_s000032249_x1d_optext.fits   1.610000                                                                
143  CAPERS_UDS_V0.1  s000032493  CAPERS_UDS_P5_s000032493_x1d_optext.fits   2.295703                                                                
144  CAPERS_UDS_V0.1  s000032520  CAPERS_UDS_P5_s000032520_x1d_optext.fits   5.130000                                                                
145  CAPERS_UDS_V0.1  s000032847  CAPERS_UDS_P5_s000032847_x1d_optext.fits   3.420000                                                                
146  CAPERS_UDS_V0.1  s000032928  CAPERS_UDS_P5_s000032928_x1d_optext.fits   2.760000                                                                
147  CAPERS_UDS_V0.1  s000033114  CAPERS_UDS_P5_s000033114_x1d_optext.fits   1.650000                                                                
148  CAPERS_UDS_V0.1  s000033214  CAPERS_UDS_P5_s000033214_x1d_optext.fits   1.519267                                                                
149  CAPERS_UDS_V0.1  s000033221  CAPERS_UDS_P5_s000033221_x1d_optext.fits   1.670000                                                                
150  CAPERS_UDS_V0.1  s000033271  CAPERS_UDS_P5_s000033271_x1d_optext.fits   2.592601                                                                
