msa_id,z_spec,z_spec16,z_spec50,z_spec84
26592,4.582840170224074,4.581315397559145,4.588616827073654,4.595918279279079
27837,2.91297376245452,2.901991401010604,2.9105944138768653,2.9192950353143443
94985,3.7086330264813947,3.7040732809836405,3.710227109766851,3.7163809385501176
32493,2.2999180603948473,2.296917259403229,2.301230259709618,2.305544204820776
91508,0.6536709551755684,0.6506241192647223,0.6536772507689091,0.656437720650601
27713,0.6940085407475851,0.6926528443633165,0.6948671587019533,0.6970816577730583
35918,2.651717620923499,2.6433278664579896,2.648106536903869,2.652872723860007
98069,0.3313555556758412,0.32807360845923245,0.3401169521994699,0.3658680086597777
94422,0.11148575461674581,0.11178677270792443,0.1699235480223852,0.20472115398398835
76692,4.813586266319262,4.110937372056958,4.811946981485278,4.864788926125108
85711,0.46917003305879024,0.46784043957659016,1.4201473584089666,1.5910266734404395
82699,6.860872756352724,6.577074320372806,6.88211814840306,8.62885532873997
25083,1.6641835167669594,1.6586255134779688,1.6621416344854592,1.6656202044830741
33271,2.607798086745709,2.601706882034826,2.6072145053793383,2.6121193994015317
92994,1.7546699580312852,1.7514424753776685,1.7555251611611853,1.759861827321259
97698,0.10760235439028709,0.10592066116454385,0.10849889562370202,1.2296783424193511
78156,4.5527740847960745,4.549172238196743,4.556431618286687,4.563735629468336
76819,4.0728238654348345,4.070094664437153,4.076727319290925,4.083359974144696
82550,1.6753966185679077,0.9343713072556854,2.129219895457636,3.9654036602986746
28819,2.1566067519686287,2.1543983775477047,2.1585249359909318,2.1626527828337947
98509,2.2910202990150346,2.284210056000616,2.29000007799991,2.2949506848430477
33114,1.6633843815881995,1.6586112416550345,1.66209601337126,1.6655739975617623
34489,5.359168551951537,5.348074819563752,5.356379317221245,5.364683814878739
79401,5.462379786638139,5.458987602818302,5.4687533154154995,5.477423320396148
100039,1.6237317540548553,1.6221803085212023,1.6256106228997906,1.6295983863625307
33767,1.6673824559667274,1.66372092395485,1.667205581083503,1.6706902382121607
93510,0.6393464199456829,0.607466384357186,0.6397377595535394,0.6929011534798829
93044,0.343794915711233,0.3416668568758869,0.34369288647562773,0.3454698956230756
95782,7.241625863430881,7.227869316739696,7.238632945620762,7.249396574501828
89902,0.6847170687437245,0.6715130957583361,0.6840722802138787,0.9689138117850771
73774,1.4729150525278385,1.4714210001376289,1.4746540921373352,1.477887184136043
34617,3.302075746562654,3.2978585157385143,3.303480949230566,3.30913498826414
30793,5.774039855523404,5.763594563645452,5.7724426407092135,5.781290717772975
84772,3.7199473174632702,3.7131199048347883,3.7192855683346386,3.7254512318344797
76202,3.091442666193725,3.088482498365688,3.0938310165648755,3.0991795765107697
33555,1.2503767305055797,1.2462927468692782,1.251548919415674,1.2629005914920406
33733,1.6490408682683078,1.2997845311354743,1.643038119699979,1.6543917655052278
32520,5.128791822717228,5.1205189514351686,5.128525762435283,5.136532573435398
33326,1.9063489526012414,1.8990431329796391,1.9064420793887,1.912461453339612
30481,3.8201142831608905,3.813788427204853,3.820085784412142,3.826383141619431
28597,9.208264506777137,9.203315218618519,9.21666310907982,9.23001099954112
96594,1.471926084313656,1.466520547932267,1.4699724350946173,1.4733656334281346
82335,3.470935353066456,3.466270359714643,3.4721130967324356,3.477955833750228
35595,4.135091376085333,4.128879882833454,4.135589440011527,4.1422989971896005
76158,1.551031119382452,1.546739302253065,1.5504778857197892,1.554834309535362
83687,5.35344787494558,5.348074819563643,5.356379317221136,5.3646838148787035
78885,0.3845810985653315,0.31775589262360365,0.3802248191396737,0.3907795770600732
102764,3.2185760322176797,0.5977234244596858,1.527914473161052,3.423617551859707
27778,0.5706627090622314,0.5677920240820657,0.5705343860365373,0.5730779606338299
96539,2.722135780146006,2.714136584909733,2.719264836058623,2.724123990079681
32928,2.7678239679248224,2.764285198515916,2.7692096044975325,2.774134010479149
87698,1.9701059868346005,1.9649766523566303,1.9709111524885894,1.9807295633613278
92145,2.607437324975424,2.601563709057327,2.6062754417175467,2.6109869770877516
29620,4.809518179929188,4.799956914065575,4.807544368526253,4.81513182298693
