              sample          id                                      file  z_manual
182  CAPERS_UDS_V0.1  s000014285  CAPERS_UDS_P2_s000014285_x1d_optext.fits      2.02
183  CAPERS_UDS_V0.1  s000014332  CAPERS_UDS_P2_s000014332_x1d_optext.fits      1.31
184  CAPERS_UDS_V0.1  s000014360  CAPERS_UDS_P2_s000014360_x1d_optext.fits      1.10
185  CAPERS_UDS_V0.1  s000014381  CAPERS_UDS_P1_s000014381_x1d_optext.fits      1.48
186  CAPERS_UDS_V0.1  s000014440  CAPERS_UDS_P2_s000014440_x1d_optext.fits      1.40
187  CAPERS_UDS_V0.1  s000014456         CAPERS_UDS_P2_s000014456_x1d.fits      2.35
188  CAPERS_UDS_V0.1  s000014464  CAPERS_UDS_P2_s000014464_x1d_optext.fits      2.32
189  CAPERS_UDS_V0.1  s000014494  CAPERS_UDS_P2_s000014494_x1d_optext.fits      1.84
190  CAPERS_UDS_V0.1  s000014598  CAPERS_UDS_P1_s000014598_x1d_optext.fits      4.17
191  CAPERS_UDS_V0.1  s000014673  CAPERS_UDS_P1_s000014673_x1d_optext.fits      2.30
192  CAPERS_UDS_V0.1  s000014707  CAPERS_UDS_P1_s000014707_x1d_optext.fits      0.44
193  CAPERS_UDS_V0.1  s000014745  CAPERS_UDS_P1_s000014745_x1d_optext.fits      2.89
194  CAPERS_UDS_V0.1  s000014832  CAPERS_UDS_P1_s000014832_x1d_optext.fits      4.44
195  CAPERS_UDS_V0.1  s000014861  CAPERS_UDS_P1_s000014861_x1d_optext.fits      3.01
196  CAPERS_UDS_V0.1  s000014879  CAPERS_UDS_P1_s000014879_x1d_optext.fits      2.32
197  CAPERS_UDS_V0.1  s000014950  CAPERS_UDS_P1_s000014950_x1d_optext.fits      1.68
198  CAPERS_UDS_V0.1  s000015280  CAPERS_UDS_P1_s000015280_x1d_optext.fits      5.22
199  CAPERS_UDS_V0.1  s000015322  CAPERS_UDS_P2_s000015322_x1d_optext.fits      3.70
200  CAPERS_UDS_V0.1  s000015329  CAPERS_UDS_P1_s000015329_x1d_optext.fits      2.28
201  CAPERS_UDS_V0.1  s000015354  CAPERS_UDS_P1_s000015354_x1d_optext.fits      1.96
202  CAPERS_UDS_V0.1  s000015420  CAPERS_UDS_P1_s000015420_x1d_optext.fits      3.59
203  CAPERS_UDS_V0.1  s000015577  CAPERS_UDS_P1_s000015577_x1d_optext.fits      2.31
204  CAPERS_UDS_V0.1  s000015682  CAPERS_UDS_P1_s000015682_x1d_optext.fits      0.67
205  CAPERS_UDS_V0.1  s000015746  CAPERS_UDS_P1_s000015746_x1d_optext.fits      1.47
206  CAPERS_UDS_V0.1  s000015772  CAPERS_UDS_P2_s000015772_x1d_optext.fits      4.63
207  CAPERS_UDS_V0.1  s000015867  CAPERS_UDS_P2_s000015867_x1d_optext.fits      2.17
208  CAPERS_UDS_V0.1  s000015947         CAPERS_UDS_P1_s000015947_x1d.fits      3.17
209  CAPERS_UDS_V0.1  s000015980  CAPERS_UDS_P1_s000015980_x1d_optext.fits      2.55
210  CAPERS_UDS_V0.1  s000016112  CAPERS_UDS_P2_s000016112_x1d_optext.fits      1.70
211  CAPERS_UDS_V0.1  s000016144  CAPERS_UDS_P2_s000016144_x1d_optext.fits      3.22
212  CAPERS_UDS_V0.1  s000016261  CAPERS_UDS_P1_s000016261_x1d_optext.fits      1.49
213  CAPERS_UDS_V0.1  s000016264  CAPERS_UDS_P2_s000016264_x1d_optext.fits      0.84
214  CAPERS_UDS_V0.1  s000016304  CAPERS_UDS_P2_s000016304_x1d_optext.fits      0.66
215  CAPERS_UDS_V0.1  s000016345  CAPERS_UDS_P1_s000016345_x1d_optext.fits      3.31
216  CAPERS_UDS_V0.1  s000016352  CAPERS_UDS_P1_s000016352_x1d_optext.fits      0.21
217  CAPERS_UDS_V0.1  s000016504  CAPERS_UDS_P1_s000016504_x1d_optext.fits      2.74
218  CAPERS_UDS_V0.1  s000016528  CAPERS_UDS_P1_s000016528_x1d_optext.fits      1.67
219  CAPERS_UDS_V0.1  s000016543  CAPERS_UDS_P1_s000016543_x1d_optext.fits      1.63
220  CAPERS_UDS_V0.1  s000016560  CAPERS_UDS_P2_s000016560_x1d_optext.fits      3.97
221  CAPERS_UDS_V0.1  s000016589  CAPERS_UDS_P2_s000016589_x1d_optext.fits      4.58
222  CAPERS_UDS_V0.1  s000016602  CAPERS_UDS_P1_s000016602_x1d_optext.fits      3.60
223  CAPERS_UDS_V0.1  s000016690  CAPERS_UDS_P1_s000016690_x1d_optext.fits      1.72
224  CAPERS_UDS_V0.1  s000016730  CAPERS_UDS_P1_s000016730_x1d_optext.fits      7.79
225  CAPERS_UDS_V0.1  s000016781  CAPERS_UDS_P1_s000016781_x1d_optext.fits      2.53
226  CAPERS_UDS_V0.1  s000016842  CAPERS_UDS_P1_s000016842_x1d_optext.fits      3.30
227  CAPERS_UDS_V0.1  s000016900  CAPERS_UDS_P2_s000016900_x1d_optext.fits      1.59
228  CAPERS_UDS_V0.1  s000016935  CAPERS_UDS_P1_s000016935_x1d_optext.fits      4.15
229  CAPERS_UDS_V0.1  s000016964  CAPERS_UDS_P1_s000016964_x1d_optext.fits      1.43
230  CAPERS_UDS_V0.1  s000017133  CAPERS_UDS_P2_s000017133_x1d_optext.fits      3.25
231  CAPERS_UDS_V0.1  s000017157  CAPERS_UDS_P1_s000017157_x1d_optext.fits      2.31
232  CAPERS_UDS_V0.1  s000017454  CAPERS_UDS_P1_s000017454_x1d_optext.fits      3.20
233  CAPERS_UDS_V0.1  s000017467  CAPERS_UDS_P2_s000017467_x1d_optext.fits      1.47
234  CAPERS_UDS_V0.1  s000017536  CAPERS_UDS_P2_s000017536_x1d_optext.fits      2.75
235  CAPERS_UDS_V0.1  s000017762  CAPERS_UDS_P1_s000017762_x1d_optext.fits      2.59
236  CAPERS_UDS_V0.1  s000017799  CAPERS_UDS_P1_s000017799_x1d_optext.fits      1.98
237  CAPERS_UDS_V0.1  s000017978  CAPERS_UDS_P1_s000017978_x1d_optext.fits      4.54
238  CAPERS_UDS_V0.1  s000018075  CAPERS_UDS_P1_s000018075_x1d_optext.fits      2.34
239  CAPERS_UDS_V0.1  s000018197         CAPERS_UDS_P1_s000018197_x1d.fits      1.17
240  CAPERS_UDS_V0.1  s000018225  CAPERS_UDS_P1_s000018225_x1d_optext.fits      3.13
241  CAPERS_UDS_V0.1  s000018271  CAPERS_UDS_P1_s000018271_x1d_optext.fits      3.88
242  CAPERS_UDS_V0.1  s000018490  CAPERS_UDS_P1_s000018490_x1d_optext.fits      2.20
243  CAPERS_UDS_V0.1  s000018515  CAPERS_UDS_P1_s000018515_x1d_optext.fits      2.75
244  CAPERS_UDS_V0.1  s000018720  CAPERS_UDS_P1_s000018720_x1d_optext.fits      2.23
245  CAPERS_UDS_V0.1  s000018867         CAPERS_UDS_P1_s000018867_x1d.fits      3.37
246  CAPERS_UDS_V0.1  s000019309  CAPERS_UDS_P1_s000019309_x1d_optext.fits      1.75
247  CAPERS_UDS_V0.1  s000019361  CAPERS_UDS_P1_s000019361_x1d_optext.fits      1.03
248  CAPERS_UDS_V0.1  s000019765  CAPERS_UDS_P1_s000019765_x1d_optext.fits      2.74
249  CAPERS_UDS_V0.1  s000019769  CAPERS_UDS_P1_s000019769_x1d_optext.fits      4.54
