id,bayes.universe.redshift,bayes.universe.redshift_err,best.universe.redshift
85084,4.590734658976777,0.002968742882256334,4.59
85100,1.3992108863273618,0.0026980742097485787,1.4000000000000001
85310,5.159878541283591,0.0011779722207850417,5.16
85451,2.6458923841266677,1.010628546795949,2.86
85579,4.8100005227700136,8.092517076374218e-05,4.8100000000000005
85603,2.194397824620706,0.4204750816041206,1.83
85654,3.319814784641186,0.0014078549944053363,3.3200000000000003
85660,3.84008511177622,0.000918646317640174,3.84
85711,1.5069633402357392,0.2629241162425767,1.42
86043,0.8886661873794015,0.7084842777512802,0.6900000000000001
86840,6.110000002781533,5.274154615587864e-06,6.11
87013,3.3241553863846516,0.8343822709846516,3.65
87191,2.2243183402668776,0.006231414616525665,2.22
87408,4.98410287816537,0.6577428621124521,5.17
87534,1.2202341467760203,0.8927849595009353,0.88
87631,0.015341950705541733,0.00799569248492514,0.01
87698,2.1206760875960473,0.029826927738919953,2.12
87828,6.040504478518209,0.46078964049061993,5.97
88137,2.2200000000000064,7.633053988536248e-09,2.22
88581,2.509675488357306,0.03686842803549961,2.5100000000000002
88619,11.69527838263247,0.014077203979884944,11.700000000000001
89009,1.4908677155147692,0.486274104109642,3.4
89048,1.3498406568453345,0.0012522145625365206,1.35
89251,2.471577208724764,0.003700003830314461,2.47
89296,1.7613543666427944,0.011588649244512226,1.76
89601,8.820000000595613,2.4405189795478555e-06,8.82
89759,3.8700000190002286,1.378411882270047e-05,3.87
89837,0.5879169220247371,0.3110695103582743,0.38
89864,3.5971064729103794,1.2215206842801591,4.24
89902,1.3756721581267797,0.6374051630199962,1.82
90083,3.4898177397762584,0.20492921954879612,3.5300000000000002
90145,3.775472775210581,0.2543692078931439,3.73
90235,5.210001877216805,0.0001424934562382715,5.21
90268,3.9900000123835118,1.1276986054254926e-05,3.99
90307,2.8434762488344583,0.643793592649389,3.0300000000000002
90531,5.219999986211242,1.1742546205962225e-05,5.22
90714,2.5115737094828905,1.8799764859764485,1.83
90718,1.636193556861009,0.9322857440376368,4.58
90834,4.449488296348444,0.00220345090832096,4.45
90967,4.150000102256905,3.1977507356346235e-05,4.15
91188,1.947057479900088,0.7570639379908355,1.6500000000000001
91291,0.9536330137512453,0.24409256270946605,0.9500000000000001
91332,1.5425981725664561,0.0862535078863717,1.55
91508,2.610000000694913,2.1198653786080266e-05,2.61
91517,1.098755310244836,0.0074137791772764545,1.1
91556,2.019268046498367,0.016878384147709986,2.02
91908,8.27999999979126,1.4447796011494299e-06,8.28
92067,0.7087256478183569,0.07566839457641313,0.59
92145,2.6099999999664356,5.793433496220758e-07,2.61
92206,2.6088272364436453,0.0032174955130556313,2.61
92281,10.090441103857884,7.487655847654382,1.81
92376,3.5801197720076354,0.008773699205913534,3.58
92380,4.035231753991368,0.25116264535618915,4.12
92450,4.139997425627546,0.00016042785652850314,4.14
92466,7.18362901533712,0.057279092563752444,7.13
92509,5.3199999999999985,5.221216871965854e-10,5.32
92678,2.3978796620750904,0.20915765785975082,2.3000000000000003
92716,1.0451767750991021,0.42474233761547214,0.91
92718,2.2315173545062303,0.0037516838742509395,2.23
92815,3.7031266000151164,0.006104721157971333,3.7
92951,14.978132077425753,5.855044596273985,3.7800000000000002
92974,5.2300000000041855,2.640500936419857e-07,5.23
92994,1.7566697265474194,0.005118335817007259,1.76
93013,1.4811839825685433,1.119453841525013,1.16
93044,1.930503257203526,0.002186183418199508,1.93
93206,1.823751802786092,0.046146365400176165,1.82
93318,5.210038004509908,0.0006153054171033653,5.21
93494,0.5332708682641042,0.3854134539354951,0.76
93510,1.9842612726754465,0.3991294828638305,2.22
93593,1.9574477704285385,1.8643096165268815,1.06
93612,4.744742678075145,1.0018130405676289,4.89
93635,,,0.0
93741,5.2300011311977155,0.00010635176318231042,5.23
93852,3.544388200029847,0.14244549390715813,3.56
93890,3.2195563525300055,0.002074251542444663,3.22
