,id,bayes.universe.redshift,bayes.universe.redshift_err,best.universe.redshift,best.chi_square,best.reduced_chi_square
776,110610,0.7348352069524127,0.7197824993632703,1.9000000000000001,354.5258771605363,0.9113775762481653
777,110910,2.558458295728821,0.06743069539991813,2.5500000000000003,268.73974152529524,0.7342615888669269
778,111124,1.4132672563792896,0.004694201535120759,1.41,270.64902276626475,0.7497202846710935
779,111363,3.432398826242927,0.3036648682960724,3.72,228.0731746936637,0.6849044285095006
780,111589,4.393001021652033,3.0400170448817048,3.6,134.87632208121866,0.7370290824110309
781,111594,5.230000000000002,2.0800262248799525e-09,5.23,433.9084476941397,1.6949548738052331
782,111625,1.489989136714698,0.00032956431363096253,1.49,415.23819673249415,1.0278173186447874
783,111677,2.9517375943084554,0.0037890248224488185,2.95,248.32718739784298,0.8446502972715747
784,111758,1.137969085848045,0.0448272046863435,1.1300000000000001,273.0428841587091,0.7691348849541102
785,111918,2.539588639619364,0.018125673588342286,2.54,298.59379858001455,0.8340608898883088
786,111987,5.683192790989223,0.005611440707634506,5.68,339.63657009766104,0.9056975202604294
787,112272,5.32859168468845,0.003478476836025702,5.33,328.8524240112032,1.0574032926405248
788,112334,3.7619962541636176,2.5673656560358062,0.88,14.072392636222576,0.2605998636337514
789,112506,3.67227590269774,0.7335769808073559,3.86,219.45184203251358,0.7033712885657487
790,112611,0.31170056471334845,0.6741617720471236,1.92,548.8258027406721,1.653089767291181
791,112618,4.90000187231098,0.00013681960483106475,4.9,388.30225486061124,1.152232210268876
792,112891,3.2490918804501683,0.004188880709599313,3.25,186.55108290281856,0.6302401449419546
793,112916,5.237920526796383,0.00407408200917818,5.24,296.13736301423904,1.1705034111234744
794,113121,3.5899717757099765,0.0005305152285241137,3.59,372.2280482473177,0.9519898932156463
795,113300,2.6399999999999997,1.0705831729550425e-09,2.64,395.23378538281685,1.0373590167528002
796,113670,0.6212095579332414,0.07547136400115868,0.63,267.1351681016675,0.829612323297104
797,113701,1.4867341511162113,0.03299940635128511,1.49,278.5493573333963,0.7759035023214381
798,113769,1.9549442731910243,0.7012601810797016,1.74,165.33707367236926,0.7251626038261809
799,113839,2.0148713344251563,1.3999748882089786,1.7,221.4083102145819,0.7355757814437937
800,113849,2.7609855952531612,0.8096450482882276,3.0500000000000003,536.8831785878011,2.497131063199075
801,114291,9.484176395729301,7.08989311222546,7.75,483.9189613700924,2.0769054136055467
802,114336,2.3305812859210295,0.9155687013654481,2.18,174.7355521219335,0.7835674983046345
803,114647,2.983493311404408,1.1530016881887257,2.75,9.880948588439368,0.39523794353757474
804,114779,2.0247975813020216,0.010102648456381423,2.02,282.0098901662772,0.7560586867728611
805,114785,3.355775338741297,0.7841864200660182,3.7,269.80286647364676,0.9303547119780923
806,115091,1.040000009528029,9.76115772607254e-06,1.04,342.37152833786485,0.9328924477870977
807,115149,6.03047704314281,0.003366625453478707,6.03,240.0548969506006,0.9602195878024025
808,115417,4.218300381954694,0.07775134691823242,4.22,270.05018055518264,1.636667760940501
809,115878,1.5082321721483487,0.2885744346827825,1.3900000000000001,272.89416487558765,0.8146094473898139
810,115902,1.8972584200173943,0.19721901363875197,1.81,306.28507845297236,0.8437605467024032
811,115968,0.9200000000000079,1.561995559887752e-08,0.92,269.17762456249136,0.8825495887294799
812,116034,3.0079806581099207,0.005372602844816249,3.0100000000000002,364.7455156027859,0.9884702319858696
813,116200,0.8954152496109782,0.39299104468574697,1.01,198.4216421740487,0.6962162883299955
814,116237,2.072707353097852,1.9497540358762318,1.07,287.9953341269643,0.8999854191467633
815,116343,2.933488343973937,0.9102069323004607,1.82,201.59861687294446,0.6319705858086033
816,116448,2.566974023038923,0.8912696590264616,1.86,264.35099707021664,0.8365537881968881
817,116484,1.4182296128269927,0.0038252917782361645,1.42,368.09478175010713,0.9414188791562842
818,116555,1.6366886093513884,0.08804733481407133,1.6600000000000001,261.6016504210699,0.7286954050726181
819,116619,7.266273427836996,4.322436482655569,3.46,35.311528685528884,0.29925024309770243
820,116640,2.0980610068469017,0.5539944780027009,1.78,216.4397596879705,0.6480232325987141
821,116755,2.6371146129900147,0.8573058145507365,2.92,41.99046058661116,0.4614336328199028
822,116872,2.8096667885385243,0.16382027936573335,2.81,173.52759771299714,0.5689429433213021
